
Discard orig. features
Training data:	MSLR-WEB10K/Fold1/restructure_train.txt
Test data:	MSLR-WEB10K/Fold1/restructure_test.txt
Validation data:	MSLR-WEB10K/Fold1/restructure_vali.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 0.1

Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]... [Done.]            
(5946 ranked lists, 72342 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]... [Done.]            
(1983 ranked lists, 23526 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]... [Done.]            
(1980 ranked lists, 24153 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.1459         | 0.4977    | 0.4978    | 
2       | 0.0936         | 0.492     | 0.4996    | 
3       | 0.1125         | 0.4977    | 0.4973    | 
4       | 0.1739         | 0.4958    | 0.4972    | 
5       | 0.0692         | 0.4927    | 0.4973    | 
6       | 0.1651         | 0.5037    | 0.5013    | 
7       | 0.1542         | 0.4946    | 0.5001    | 
8       | 0.0212         | 0.4948    | 0.4995    | 
9       | 0.0681         | 0.4932    | 0.4993    | 
10      | 0.1266         | 0.4886    | 0.4963    | 
11      | 0.1005         | 0.5065    | 0.5073    | 
12      | 0.118          | 0.5033    | 0.5039    | 
13      | 0.0022         | 0.4959    | 0.5009    | 
14      | 0.0031         | 0.4958    | 0.5011    | 
15      | 0.0028         | 0.4959    | 0.5009    | 
16      | 0.0027         | 0.4959    | 0.501     | 
17      | 0.0027         | 0.4959    | 0.501     | 
18      | 0.0027         | 0.4959    | 0.501     | 
19      | 0.1319         | 0.4921    | 0.4985    | 
20      | 0.0028         | 0.4959    | 0.501     | 
21      | 0.0029         | 0.4959    | 0.501     | 
22      | 0.0029         | 0.4959    | 0.5011    | 
23      | 0.0104         | 0.4966    | 0.5013    | 
24      | 0.0174         | 0.4989    | 0.5012    | 
25      | 0.0162         | 0.4951    | 0.5005    | 
26      | 0.0098         | 0.4954    | 0.5011    | 
27      | 0.0103         | 0.4957    | 0.5004    | 
28      | 0.0095         | 0.497     | 0.5008    | 
29      | 0.0139         | 0.4978    | 0.5007    | 
30      | 0.0495         | 0.4947    | 0.4944    | 
31      | 0.0124         | 0.4952    | 0.5012    | 
32      | 0.0148         | 0.4973    | 0.5014    | 
33      | 0.0447         | 0.4982    | 0.5021    | 
34      | 0.0149         | 0.4953    | 0.501     | 
35      | 0.0082         | 0.4953    | 0.5015    | 
36      | 0.0101         | 0.4955    | 0.5014    | 
37      | 0.0083         | 0.4972    | 0.5005    | 
38      | 0.0096         | 0.4971    | 0.5012    | 
39      | 0.0128         | 0.4981    | 0.5       | 
40      | 0.1279         | 0.4992    | 0.5014    | 
41      | 0.0473         | 0.4979    | 0.5065    | 
42      | 0.0793         | 0.4973    | 0.5024    | 
43      | 0.0257         | 0.4966    | 0.4994    | 
44      | 0.0279         | 0.4992    | 0.5014    | 
45      | 0.076          | 0.4949    | 0.4922    | 
46      | 0.0077         | 0.4957    | 0.501     | 
47      | 0.0033         | 0.4958    | 0.5013    | 
48      | 0.0036         | 0.4959    | 0.5014    | 
49      | 0.0036         | 0.4959    | 0.5014    | 
50      | 0.0035         | 0.4959    | 0.5014    | 
51      | 0.0037         | 0.4957    | 0.5014    | 
52      | 0.0035         | 0.4959    | 0.5014    | 
53      | 0.0037         | 0.4958    | 0.5014    | 
54      | 0.0036         | 0.4958    | 0.5013    | 
55      | 0.0037         | 0.4957    | 0.5014    | 
56      | 0.0034         | 0.4958    | 0.5013    | 
57      | 0.0036         | 0.4957    | 0.5014    | 
58      | 0.0036         | 0.4957    | 0.5014    | 
59      | 0.0036         | 0.4957    | 0.5013    | 
60      | 0.0396         | 0.499     | 0.5022    | 
61      | 0.0036         | 0.4957    | 0.5013    | 
62      | 0.0035         | 0.4958    | 0.5014    | 
63      | 0.0036         | 0.4958    | 0.5012    | 
64      | 0.0036         | 0.4958    | 0.5012    | 
65      | 0.0035         | 0.4958    | 0.5013    | 
66      | 0.0345         | 0.4996    | 0.5031    | 
67      | 0.1161         | 0.4979    | 0.5015    | 
68      | 0.0255         | 0.4967    | 0.5024    | 
69      | 0.0774         | 0.498     | 0.4972    | 
70      | 0.0203         | 0.4959    | 0.5001    | 
71      | 0.014          | 0.4957    | 0.4999    | 
72      | 0.0372         | 0.4993    | 0.5024    | 
73      | 0.0838         | 0.4988    | 0.499     | 
74      | 0.0837         | 0.4966    | 0.4961    | 
75      | 0.1019         | 0.4961    | 0.5019    | 
76      | 0.0444         | 0.4963    | 0.5049    | 
77      | 0.1091         | 0.4989    | 0.5006    | 
78      | 0.0529         | 0.4958    | 0.4993    | 
79      | 0.0612         | 0.4964    | 0.5004    | 
80      | 0.1238         | 0.496     | 0.5008    | 
81      | 0.0308         | 0.4945    | 0.4997    | 
82      | 0.0985         | 0.4896    | 0.4984    | 
83      | 0.0222         | 0.4989    | 0.5007    | 
84      | 0.0565         | 0.4982    | 0.4999    | 
85      | 0.1155         | 0.4953    | 0.4984    | 
86      | 0.0135         | 0.4956    | 0.4999    | 
87      | 0.0124         | 0.4958    | 0.5       | 
88      | 0.0153         | 0.4973    | 0.5004    | 
89      | 0.0166         | 0.4973    | 0.5011    | 
90      | 0.1235         | 0.5058    | 0.5076    | 
91      | 0.0016         | 0.4961    | 0.5004    | 
92      | 0.0016         | 0.496     | 0.5004    | 
93      | 0.0016         | 0.496     | 0.5003    | 
94      | 0.0016         | 0.496     | 0.5003    | 
95      | 0.0016         | 0.496     | 0.5003    | 
96      | 0.0016         | 0.496     | 0.5003    | 
97      | 0.0016         | 0.496     | 0.5003    | 
98      | 0.0016         | 0.496     | 0.5003    | 
99      | 0.0016         | 0.496     | 0.5003    | 
100     | 0.0016         | 0.496     | 0.5003    | 
--------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.5058
NDCG@10 on validation data: 0.5076
---------------------------------
NDCG@10 on test data: 0.4969
