
Discard orig. features
Training data:	MSLR-WEB10K/Fold3/restructure_train.txt
Test data:	MSLR-WEB10K/Fold3/restructure_test.txt
Validation data:	MSLR-WEB10K/Fold3/restructure_vali.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	ERR@10
Test metric:	ERR@10
Highest relevance label (to compute ERR): 4
Feature normalization: No

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 0.03

Reading feature file [MSLR-WEB10K/Fold3/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_train.txt]... [Done.]            
(5947 ranked lists, 71912 entries read)
Reading feature file [MSLR-WEB10K/Fold3/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_vali.txt]... [Done.]            
(1979 ranked lists, 24199 entries read)
Reading feature file [MSLR-WEB10K/Fold3/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold3/restructure_test.txt]... [Done.]            
(1983 ranked lists, 23910 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | ERR@10-T  | ERR@10-V  | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.1629         | 0.1381    | 0.1351    | 
2       | 0.0098         | 0.1326    | 0.1335    | 
3       | 0.0071         | 0.1318    | 0.132     | 
4       | 0.0057         | 0.132     | 0.1325    | 
5       | 0.0181         | 0.1308    | 0.1311    | 
6       | 0.0104         | 0.1316    | 0.132     | 
7       | 0.0449         | 0.1341    | 0.1333    | 
8       | 0.0085         | 0.1326    | 0.133     | 
9       | 0.0083         | 0.1317    | 0.1323    | 
10      | 0.0961         | 0.1271    | 0.1274    | 
11      | 0.0804         | 0.1275    | 0.1265    | 
12      | 0.0056         | 0.1312    | 0.1315    | 
13      | 0.0112         | 0.1316    | 0.1323    | 
14      | 0.0045         | 0.1312    | 0.1315    | 
15      | 0.0042         | 0.131     | 0.1314    | 
16      | 0.0039         | 0.131     | 0.1317    | 
17      | 0.0042         | 0.1311    | 0.1315    | 
18      | 0.0056         | 0.1319    | 0.1315    | 
19      | 0.0076         | 0.1318    | 0.1314    | 
20      | 0.0043         | 0.1311    | 0.1313    | 
21      | 0.0039         | 0.131     | 0.1318    | 
22      | 0.0039         | 0.1308    | 0.1317    | 
23      | 0.0084         | 0.1315    | 0.1314    | 
24      | 0.0044         | 0.1312    | 0.1313    | 
25      | 0.0038         | 0.1311    | 0.1318    | 
26      | 0.0038         | 0.131     | 0.1316    | 
27      | 0.0041         | 0.131     | 0.1316    | 
28      | 0.0039         | 0.131     | 0.1317    | 
29      | 0.0039         | 0.1311    | 0.1317    | 
30      | 0.0038         | 0.1309    | 0.1317    | 
31      | 0.0039         | 0.131     | 0.1315    | 
32      | 0.0039         | 0.1313    | 0.1316    | 
33      | 0.0036         | 0.1312    | 0.1317    | 
34      | 0.0037         | 0.1311    | 0.1317    | 
35      | 0.0037         | 0.131     | 0.1317    | 
36      | 0.0039         | 0.1313    | 0.1316    | 
37      | 0.0039         | 0.1312    | 0.1317    | 
38      | 0.0042         | 0.1312    | 0.1316    | 
39      | 0.0041         | 0.1313    | 0.1314    | 
40      | 0.0037         | 0.1312    | 0.1317    | 
41      | 0.0041         | 0.1311    | 0.1315    | 
42      | 0.004          | 0.1313    | 0.1314    | 
43      | 0.0178         | 0.131     | 0.1308    | 
44      | 0.0038         | 0.1311    | 0.1316    | 
45      | 0.0035         | 0.1311    | 0.1317    | 
46      | 0.0035         | 0.1311    | 0.1317    | 
47      | 0.0041         | 0.1312    | 0.1311    | 
48      | 0.0042         | 0.1314    | 0.1314    | 
49      | 0.0036         | 0.1312    | 0.1316    | 
50      | 0.0037         | 0.1312    | 0.1316    | 
51      | 0.0046         | 0.1314    | 0.1312    | 
52      | 0.0051         | 0.1315    | 0.1318    | 
53      | 0.0045         | 0.1312    | 0.1311    | 
54      | 0.0775         | 0.1275    | 0.1268    | 
55      | 0.0038         | 0.1313    | 0.1316    | 
56      | 0.0035         | 0.1313    | 0.1314    | 
57      | 0.0038         | 0.131     | 0.1315    | 
58      | 0.0043         | 0.1314    | 0.1312    | 
59      | 0.0082         | 0.1314    | 0.1315    | 
60      | 0.0041         | 0.1312    | 0.1312    | 
61      | 0.0039         | 0.1309    | 0.1314    | 
62      | 0.0045         | 0.1316    | 0.1315    | 
63      | 0.0041         | 0.1313    | 0.1314    | 
64      | 0.0034         | 0.131     | 0.1316    | 
65      | 0.0033         | 0.131     | 0.1316    | 
66      | 0.0034         | 0.1309    | 0.1315    | 
67      | 0.0032         | 0.1309    | 0.1317    | 
68      | 0.0033         | 0.131     | 0.1312    | 
69      | 0.0035         | 0.1312    | 0.1311    | 
70      | 0.0031         | 0.1309    | 0.1315    | 
71      | 0.003          | 0.1309    | 0.1316    | 
72      | 0.0031         | 0.1309    | 0.1315    | 
73      | 0.0032         | 0.131     | 0.1316    | 
74      | 0.0046         | 0.1313    | 0.1315    | 
75      | 0.0594         | 0.1335    | 0.1338    | 
76      | 0.0032         | 0.1309    | 0.1312    | 
77      | 0.0031         | 0.131     | 0.1315    | 
78      | 0.0029         | 0.1311    | 0.1317    | 
79      | 0.0031         | 0.1311    | 0.1318    | 
80      | 0.0035         | 0.1311    | 0.1316    | 
81      | 0.0035         | 0.131     | 0.1315    | 
82      | 0.0035         | 0.1309    | 0.1315    | 
83      | 0.0038         | 0.1309    | 0.1312    | 
84      | 0.0036         | 0.1312    | 0.1311    | 
