
Discard orig. features
Training data:	MSLR-WEB10K/Fold1/restructure_train.txt
Test data:	MSLR-WEB10K/Fold1/restructure_test.txt
Validation data:	MSLR-WEB10K/Fold1/restructure_vali.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 20
Learning rate: 0.01

Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]... [Done.]            
(5946 ranked lists, 72342 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]... [Done.]            
(1983 ranked lists, 23526 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]... [Done.]            
(1980 ranked lists, 24153 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.1516         | 0.5023    | 0.5042    | 
2       | 0.1602         | 0.5023    | 0.5039    | 
3       | 0.1727         | 0.5072    | 0.5089    | 
4       | 0.184          | 0.5086    | 0.5119    | 
5       | 0.1741         | 0.5034    | 0.5059    | 
6       | 0.1934         | 0.4953    | 0.4991    | 
7       | 0.1723         | 0.5038    | 0.5084    | 
8       | 0.1814         | 0.5031    | 0.5056    | 
9       | 0.1873         | 0.504     | 0.5057    | 
10      | 0.1796         | 0.497     | 0.5009    | 
11      | 0.1164         | 0.4966    | 0.4998    | 
12      | 0.1533         | 0.5004    | 0.5041    | 
13      | 0.1541         | 0.4905    | 0.4981    | 
14      | 0.2029         | 0.5087    | 0.5084    | 
15      | 0.1821         | 0.5017    | 0.5053    | 
16      | 0.1727         | 0.4997    | 0.503     | 
17      | 0.1793         | 0.5003    | 0.5026    | 
18      | 0.1692         | 0.4941    | 0.4954    | 
19      | 0.1902         | 0.5054    | 0.5043    | 
20      | 0.1258         | 0.4926    | 0.4982    | 
21      | 0.1528         | 0.497     | 0.5009    | 
22      | 0.0577         | 0.4959    | 0.4995    | 
23      | 0.1236         | 0.4943    | 0.5003    | 
24      | 0.18           | 0.5041    | 0.5051    | 
25      | 0.1497         | 0.5027    | 0.5043    | 
26      | 0.1564         | 0.4885    | 0.4977    | 
27      | 0.1449         | 0.5031    | 0.5079    | 
28      | 0.0772         | 0.4961    | 0.4996    | 
29      | 0.1641         | 0.4994    | 0.5052    | 
30      | 0.13           | 0.497     | 0.5002    | 
31      | 0.1406         | 0.4955    | 0.5017    | 
32      | 0.1353         | 0.4941    | 0.4993    | 
33      | 0.1082         | 0.4962    | 0.5       | 
34      | 0.1009         | 0.4959    | 0.5034    | 
35      | 0.1248         | 0.4958    | 0.5014    | 
36      | 0.1457         | 0.4976    | 0.505     | 
37      | 0.0787         | 0.4951    | 0.4997    | 
38      | 0.1143         | 0.4955    | 0.4985    | 
39      | 0.0848         | 0.4965    | 0.4998    | 
40      | 0.1092         | 0.4964    | 0.5008    | 
41      | 0.1343         | 0.4959    | 0.4999    | 
42      | 0.1355         | 0.4969    | 0.4998    | 
43      | 0.1479         | 0.4963    | 0.5017    | 
44      | 0.1528         | 0.5069    | 0.5099    | 
45      | 0.0961         | 0.4958    | 0.5076    | 
46      | 0.109          | 0.4946    | 0.499     | 
47      | 0.148          | 0.5083    | 0.5065    | 
48      | 0.1747         | 0.5027    | 0.509     | 
49      | 0.111          | 0.4961    | 0.501     | 
50      | 0.0836         | 0.4971    | 0.5057    | 
51      | 0.1028         | 0.4961    | 0.4972    | 
52      | 0.1357         | 0.4973    | 0.5023    | 
53      | 0.1095         | 0.4953    | 0.5009    | 
54      | 0.1374         | 0.495     | 0.5017    | 
55      | 0.0997         | 0.4961    | 0.5024    | 
56      | 0.1255         | 0.4966    | 0.5035    | 
57      | 0.0668         | 0.4948    | 0.4979    | 
58      | 0.0939         | 0.496     | 0.4971    | 
59      | 0.073          | 0.4956    | 0.5009    | 
60      | 0.1307         | 0.4949    | 0.5028    | 
61      | 0.1154         | 0.4973    | 0.5003    | 
62      | 0.0786         | 0.4968    | 0.5035    | 
63      | 0.1014         | 0.4954    | 0.4975    | 
64      | 0.1656         | 0.4958    | 0.5034    | 
65      | 0.1539         | 0.501     | 0.5086    | 
66      | 0.1335         | 0.4936    | 0.4949    | 
67      | 0.0879         | 0.5       | 0.5019    | 
68      | 0.1485         | 0.4993    | 0.5013    | 
69      | 0.0963         | 0.4935    | 0.4947    | 
70      | 0.1022         | 0.4969    | 0.5017    | 
71      | 0.1442         | 0.5038    | 0.5106    | 
72      | 0.1468         | 0.4892    | 0.4979    | 
73      | 0.0905         | 0.4952    | 0.4981    | 
74      | 0.0773         | 0.4951    | 0.5035    | 
75      | 0.0817         | 0.4986    | 0.5011    | 
76      | 0.1332         | 0.4973    | 0.5013    | 
77      | 0.0814         | 0.4943    | 0.495     | 
78      | 0.0597         | 0.4987    | 0.505     | 
79      | 0.099          | 0.4985    | 0.5032    | 
80      | 0.1005         | 0.4959    | 0.4988    | 
81      | 0.0804         | 0.4964    | 0.5031    | 
82      | 0.0729         | 0.4967    | 0.4993    | 
83      | 0.1596         | 0.4943    | 0.4993    | 
84      | 0.0957         | 0.4966    | 0.4995    | 
85      | 0.0769         | 0.496     | 0.4991    | 
86      | 0.1115         | 0.4969    | 0.5012    | 
87      | 0.0702         | 0.4961    | 0.4969    | 
88      | 0.0803         | 0.4971    | 0.499     | 
89      | 0.0874         | 0.4947    | 0.4965    | 
90      | 0.0916         | 0.4941    | 0.494     | 
91      | 0.0561         | 0.4957    | 0.5043    | 
92      | 0.0938         | 0.4995    | 0.5045    | 
93      | 0.1086         | 0.4925    | 0.4936    | 
94      | 0.0657         | 0.4946    | 0.5021    | 
95      | 0.1543         | 0.499     | 0.5005    | 
96      | 0.0518         | 0.4954    | 0.4992    | 
97      | 0.118          | 0.4969    | 0.501     | 
98      | 0.1448         | 0.4927    | 0.4946    | 
99      | 0.0644         | 0.4929    | 0.4969    | 
100     | 0.0652         | 0.5014    | 0.5038    | 
--------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.5086
NDCG@10 on validation data: 0.5119
---------------------------------
NDCG@10 on test data: 0.4994
