
Discard orig. features
Training data:	MSLR-WEB10K/Fold1/restructure_train.txt
Test data:	MSLR-WEB10K/Fold1/restructure_test.txt
Validation data:	MSLR-WEB10K/Fold1/restructure_vali.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 30
Learning rate: 0.01

Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_train.txt]... [Done.]            
(5946 ranked lists, 72342 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_vali.txt]... [Done.]            
(1983 ranked lists, 23526 entries read)
Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]: 0... Reading feature file [MSLR-WEB10K/Fold1/restructure_test.txt]... [Done.]            
(1980 ranked lists, 24153 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.1851         | 0.5071    | 0.5069    | 
2       | 0.1829         | 0.4957    | 0.4938    | 
3       | 0.1994         | 0.5007    | 0.4992    | 
4       | 0.2272         | 0.492     | 0.4973    | 
5       | 0.1967         | 0.5075    | 0.5048    | 
6       | 0.1882         | 0.4903    | 0.4999    | 
7       | 0.175          | 0.4904    | 0.4936    | 
8       | 0.2111         | 0.5015    | 0.4995    | 
9       | 0.2182         | 0.4877    | 0.4934    | 
10      | 0.1297         | 0.4918    | 0.4957    | 
11      | 0.1776         | 0.4888    | 0.5005    | 
12      | 0.1379         | 0.5029    | 0.5063    | 
13      | 0.1114         | 0.5009    | 0.5042    | 
14      | 0.1657         | 0.4929    | 0.4976    | 
15      | 0.1893         | 0.4885    | 0.494     | 
16      | 0.1738         | 0.5014    | 0.5044    | 
17      | 0.1486         | 0.5018    | 0.4995    | 
18      | 0.1494         | 0.4966    | 0.5054    | 
19      | 0.1967         | 0.4959    | 0.4969    | 
20      | 0.1423         | 0.4923    | 0.4996    | 
21      | 0.0957         | 0.4971    | 0.4947    | 
22      | 0.2007         | 0.4923    | 0.4955    | 
23      | 0.189          | 0.4959    | 0.4928    | 
24      | 0.1395         | 0.4982    | 0.502     | 
25      | 0.1293         | 0.4983    | 0.502     | 
26      | 0.1547         | 0.4924    | 0.4971    | 
27      | 0.1686         | 0.4962    | 0.4979    | 
28      | 0.1078         | 0.4958    | 0.5011    | 
29      | 0.1496         | 0.4995    | 0.5076    | 
30      | 0.0818         | 0.4936    | 0.5004    | 
31      | 0.1144         | 0.4945    | 0.4993    | 
32      | 0.1662         | 0.5045    | 0.5063    | 
33      | 0.1384         | 0.4958    | 0.5015    | 
34      | 0.1039         | 0.4959    | 0.4986    | 
35      | 0.1203         | 0.4972    | 0.5063    | 
36      | 0.119          | 0.4974    | 0.5028    | 
37      | 0.1277         | 0.4954    | 0.4979    | 
38      | 0.1556         | 0.4921    | 0.5014    | 
39      | 0.1313         | 0.4933    | 0.4967    | 
40      | 0.1448         | 0.4916    | 0.4934    | 
41      | 0.1241         | 0.4978    | 0.5003    | 
42      | 0.0922         | 0.4999    | 0.4967    | 
43      | 0.147          | 0.5018    | 0.5062    | 
44      | 0.1619         | 0.4978    | 0.5015    | 
45      | 0.1347         | 0.495     | 0.5       | 
46      | 0.0726         | 0.4998    | 0.5036    | 
47      | 0.1149         | 0.4951    | 0.4991    | 
48      | 0.1098         | 0.4958    | 0.5034    | 
49      | 0.0726         | 0.4999    | 0.499     | 
50      | 0.1095         | 0.496     | 0.4983    | 
51      | 0.0957         | 0.4982    | 0.5038    | 
52      | 0.123          | 0.4994    | 0.498     | 
53      | 0.17           | 0.5019    | 0.5061    | 
54      | 0.1278         | 0.4941    | 0.501     | 
55      | 0.1872         | 0.4961    | 0.5019    | 
56      | 0.1191         | 0.494     | 0.4993    | 
57      | 0.076          | 0.494     | 0.497     | 
58      | 0.1431         | 0.5004    | 0.5031    | 
59      | 0.1303         | 0.4964    | 0.4945    | 
60      | 0.1172         | 0.4983    | 0.5084    | 
61      | 0.1773         | 0.4975    | 0.4972    | 
62      | 0.1355         | 0.4977    | 0.4995    | 
63      | 0.0947         | 0.4982    | 0.5036    | 
64      | 0.1971         | 0.4866    | 0.4932    | 
65      | 0.1234         | 0.4956    | 0.496     | 
66      | 0.0808         | 0.4988    | 0.5038    | 
67      | 0.1002         | 0.4969    | 0.502     | 
68      | 0.0823         | 0.4927    | 0.4949    | 
69      | 0.0736         | 0.4958    | 0.5028    | 
70      | 0.0939         | 0.5006    | 0.5033    | 
71      | 0.1263         | 0.4965    | 0.4955    | 
72      | 0.1069         | 0.4956    | 0.4936    | 
73      | 0.0795         | 0.4996    | 0.5008    | 
74      | 0.1518         | 0.497     | 0.4972    | 
75      | 0.1381         | 0.4933    | 0.5001    | 
76      | 0.1052         | 0.497     | 0.4981    | 
77      | 0.0963         | 0.4973    | 0.4946    | 
78      | 0.1071         | 0.4976    | 0.4985    | 
79      | 0.0988         | 0.4976    | 0.5024    | 
80      | 0.1021         | 0.4957    | 0.4991    | 
81      | 0.1149         | 0.498     | 0.5012    | 
82      | 0.1253         | 0.4957    | 0.4972    | 
83      | 0.1059         | 0.4956    | 0.4987    | 
84      | 0.068          | 0.4969    | 0.4984    | 
85      | 0.1017         | 0.5006    | 0.5017    | 
86      | 0.0855         | 0.5009    | 0.5076    | 
87      | 0.149          | 0.5033    | 0.5067    | 
88      | 0.0718         | 0.4954    | 0.5032    | 
89      | 0.1121         | 0.4972    | 0.5012    | 
90      | 0.098          | 0.4955    | 0.4974    | 
91      | 0.0942         | 0.4984    | 0.5026    | 
92      | 0.1301         | 0.4972    | 0.5023    | 
93      | 0.0841         | 0.4993    | 0.5078    | 
94      | 0.1454         | 0.4962    | 0.4973    | 
95      | 0.0696         | 0.5039    | 0.5074    | 
96      | 0.1089         | 0.4972    | 0.5006    | 
97      | 0.1054         | 0.4946    | 0.5009    | 
98      | 0.1603         | 0.5025    | 0.5073    | 
99      | 0.1573         | 0.5033    | 0.4998    | 
100     | 0.1254         | 0.496     | 0.4943    | 
--------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.4983
NDCG@10 on validation data: 0.5084
---------------------------------
NDCG@10 on test data: 0.4906
